Value,Result,Error
1,0.000008,7.66665e-06
2,0.693155,7.62939e-06
3,1.098620,7.62939e-06
4,1.386302,7.62939e-06
5,1.609446,7.62939e-06
6,1.791767,7.62939e-06
7,1.945910,0
8,2.079449,7.62939e-06
9,2.197242,1.69277e-05
10,2.302593,7.62939e-06
11,2.397900,4.29153e-06
12,2.484914,7.62939e-06
13,2.564967,1.7643e-05
14,2.639057,0
15,2.708058,7.62939e-06
16,2.772596,7.62939e-06
17,2.833221,7.62939e-06
18,2.890389,1.69277e-05
19,2.944440,7.15256e-07
20,2.995740,7.62939e-06
21,3.044523,0
22,3.091047,4.29153e-06
23,3.135494,0
24,3.178061,7.62939e-06
25,3.218876,0
26,3.258114,1.7643e-05
27,3.295854,1.69277e-05
28,3.332205,0
29,3.367321,2.47955e-05
30,3.401205,7.62939e-06
31,3.433988,4.76837e-07
32,3.465744,7.62939e-06
33,3.496512,4.29153e-06
34,3.526368,7.62939e-06
35,3.555357,8.58307e-06
36,3.583536,1.69277e-05
37,3.610919,1.19209e-06
38,3.637587,7.15256e-07
39,3.663579,1.7643e-05
40,3.688887,7.62939e-06
41,3.713573,7.15256e-07
42,3.737670,0
43,3.761204,3.33786e-06
44,3.784194,4.29153e-06
45,3.806669,5.96046e-06
46,3.828641,0
47,3.850149,1.66893e-06
48,3.871209,7.62939e-06
49,3.891834,1.43051e-05
50,3.912023,0
51,3.931833,7.62939e-06
52,3.951261,1.7643e-05
53,3.970295,2.86102e-06
54,3.989001,1.69277e-05
55,4.007338,4.29153e-06
56,4.025352,0
57,4.043052,4.76837e-07
58,4.060468,2.47955e-05
59,4.077551,1.33514e-05
60,4.094352,7.62939e-06
61,4.110875,1.43051e-06
62,4.127135,4.76837e-07
63,4.143135,0
64,4.158891,7.62939e-06
65,4.174391,3.33786e-06
66,4.189659,4.29153e-06
67,4.204698,4.76837e-06
68,4.219515,7.62939e-06
69,4.234112,5.24521e-06
70,4.248504,8.58307e-06
71,4.262695,1.4782e-05
72,4.276683,1.66893e-05
73,4.290488,2.81334e-05
74,4.304066,9.53674e-07
75,4.317494,6.19888e-06
76,4.330734,4.76837e-07
77,4.343812,6.67572e-06
78,4.356727,1.7643e-05
79,4.369448,4.76837e-07
80,4.382034,7.62939e-06
81,4.394466,1.66893e-05
82,4.406720,9.53674e-07
83,4.418850,1.00136e-05
84,4.430817,0
85,4.442659,7.62939e-06
86,4.454351,3.8147e-06
87,4.465930,2.19345e-05
88,4.477341,4.29153e-06
89,4.488660,2.38419e-05
90,4.499816,6.19888e-06
91,4.510859,0
92,4.521789,0
93,4.532611,1.19209e-05
94,4.543296,1.43051e-06
95,4.553899,2.19345e-05
96,4.564356,7.62939e-06
97,4.574711,0
98,4.584982,1.43051e-05
99,4.595124,4.29153e-06
100,4.605170,0
101,4.615139,1.81198e-05
102,4.624980,7.62939e-06
103,4.634729,4.76837e-07
104,4.644409,1.7643e-05
105,4.653969,8.58307e-06
106,4.663442,2.86102e-06
107,4.672829,4.76837e-07
108,4.682148,1.66893e-05
109,4.691358,9.53674e-06
110,4.700485,4.29153e-06
111,4.709531,9.53674e-07
112,4.718499,0
113,4.727411,2.3365e-05
114,4.736199,4.76837e-07
115,4.744932,0
116,4.753615,2.47955e-05
117,4.762192,1.7643e-05
118,4.770698,1.33514e-05
119,4.779134,1.04904e-05
120,4.787499,7.62939e-06
121,4.795793,1.90735e-06
122,4.804022,1.43051e-06
123,4.812185,9.53674e-07
124,4.820282,4.76837e-07
125,4.828314,0
126,4.836282,0
127,4.844187,0
128,4.852038,7.62939e-06
129,4.859816,3.8147e-06
130,4.867538,3.33786e-06
131,4.875201,3.8147e-06
132,4.882806,4.29153e-06
133,4.890353,4.29153e-06
134,4.897845,4.76837e-06
135,4.905281,6.19888e-06
136,4.912663,7.62939e-06
137,4.919985,3.8147e-06
138,4.927259,5.24521e-06
139,4.934480,6.19888e-06
140,4.941651,8.58307e-06
141,4.948771,1.14441e-05
142,4.955842,1.4782e-05
143,4.962857,1.23978e-05
